               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047102,            0.070773,            0.022868,             0.61436,              0.5187,              0.5499,             0.35042,            0.044918,            0.048168,            0.017401,            0.070137,           0.0033181,           0.0033181
                   1,             0.04849,            0.069367,            0.022824,             0.62412,             0.46078,             0.50047,             0.30332,             0.04815,            0.049381,            0.019669,            0.040005,           0.0065197,           0.0065197
                   2,            0.050003,            0.069851,            0.024858,             0.56242,             0.38853,             0.40834,               0.238,            0.051328,             0.05254,            0.026732,           0.0097416,           0.0095894,           0.0095894
                   3,            0.052364,             0.07106,            0.028061,             0.49843,             0.34654,             0.36156,             0.19581,            0.053835,            0.054555,            0.028402,            0.009406,            0.009406,            0.009406
                   4,            0.052848,            0.073454,            0.028057,             0.48866,             0.32257,             0.32964,             0.18126,            0.054949,            0.055812,            0.031195,            0.009406,            0.009406,            0.009406
                   5,            0.052836,            0.073316,             0.02684,             0.47231,             0.35166,              0.3499,             0.19071,            0.054478,            0.053608,            0.028751,            0.009208,            0.009208,            0.009208
                   6,            0.052736,            0.072682,            0.025944,             0.48281,             0.33919,             0.34767,             0.19314,            0.054032,             0.05435,             0.02885,             0.00901,             0.00901,             0.00901
                   7,            0.051936,            0.071402,            0.025175,             0.54018,             0.35385,              0.3691,             0.20598,            0.053491,            0.053602,            0.028139,            0.008812,            0.008812,            0.008812
                   8,            0.051733,            0.072695,            0.024114,             0.52309,             0.36359,              0.3767,             0.20778,            0.053751,             0.05398,            0.026857,            0.008614,            0.008614,            0.008614
                   9,            0.051323,            0.070652,            0.023548,              0.4521,             0.34216,              0.3427,             0.19024,            0.054221,            0.054335,            0.030592,            0.008416,            0.008416,            0.008416
                  10,            0.051121,            0.068999,            0.023231,             0.48326,             0.35826,             0.36673,             0.20222,             0.05375,            0.054252,             0.02866,            0.008218,            0.008218,            0.008218
                  11,            0.050678,            0.069103,            0.022428,              0.5061,             0.37104,             0.37199,              0.2092,            0.053451,            0.054047,            0.028312,             0.00802,             0.00802,             0.00802
                  12,            0.050346,            0.068745,            0.021786,             0.50975,             0.35293,             0.37074,             0.21099,            0.053418,            0.053838,             0.02778,            0.007822,            0.007822,            0.007822
                  13,            0.049754,            0.068483,            0.021073,              0.4962,             0.35176,             0.37185,             0.21342,            0.053135,            0.054435,            0.028204,            0.007624,            0.007624,            0.007624
                  14,            0.049148,            0.066925,            0.020492,             0.52419,             0.34268,             0.36665,             0.20823,             0.05332,            0.054731,            0.028729,            0.007426,            0.007426,            0.007426
                  15,            0.049488,            0.068186,            0.020598,             0.50498,             0.35894,              0.3707,             0.21167,            0.053219,            0.054042,            0.028665,            0.007228,            0.007228,            0.007228
                  16,            0.049013,            0.067285,            0.019793,             0.52035,             0.36398,             0.37609,             0.21257,            0.053171,            0.054655,            0.028817,             0.00703,             0.00703,             0.00703
                  17,             0.04828,            0.066257,            0.019309,             0.48907,             0.37994,             0.38387,             0.21823,            0.053308,            0.054338,            0.027317,            0.006832,            0.006832,            0.006832
                  18,            0.048446,            0.065761,            0.019246,             0.51572,             0.38698,             0.39083,             0.22471,            0.053181,            0.054453,            0.028045,            0.006634,            0.006634,            0.006634
                  19,             0.04784,            0.066048,            0.018451,             0.51648,             0.36013,             0.37714,             0.21305,            0.053108,            0.054525,            0.028011,            0.006436,            0.006436,            0.006436
                  20,            0.048065,            0.065851,             0.01778,             0.49755,             0.36392,             0.37425,             0.21833,            0.053313,            0.056039,            0.028485,            0.006238,            0.006238,            0.006238
                  21,            0.047158,            0.064599,            0.017552,             0.48994,             0.38191,             0.38527,              0.2208,            0.052896,            0.054808,            0.027349,             0.00604,             0.00604,             0.00604
                  22,            0.046863,            0.063938,            0.017421,             0.54012,             0.36269,             0.39253,             0.22714,             0.05291,            0.055457,            0.028249,            0.005842,            0.005842,            0.005842
                  23,            0.046757,            0.064448,            0.016674,             0.49494,             0.38435,             0.39558,             0.23248,            0.052484,            0.054236,            0.027775,            0.005644,            0.005644,            0.005644
                  24,            0.046504,            0.064429,            0.016392,             0.49193,             0.37778,               0.381,             0.22202,            0.053212,             0.05572,            0.028237,            0.005446,            0.005446,            0.005446
                  25,            0.046016,            0.062928,            0.016152,             0.46402,             0.39828,             0.38798,             0.22697,             0.05257,             0.05511,            0.027596,            0.005248,            0.005248,            0.005248
                  26,            0.045568,            0.062824,            0.015731,             0.50991,             0.37698,             0.39132,              0.2298,            0.052641,            0.054876,            0.027647,             0.00505,             0.00505,             0.00505
                  27,            0.045188,            0.060596,            0.015609,             0.54424,             0.38576,             0.39669,             0.22983,            0.053065,            0.056064,            0.028431,            0.004852,            0.004852,            0.004852
                  28,            0.044882,            0.061028,            0.015357,              0.5332,              0.3779,             0.39497,             0.23174,            0.052608,            0.056039,            0.027542,            0.004654,            0.004654,            0.004654
                  29,            0.044791,             0.06079,            0.014862,             0.54019,             0.36855,             0.39945,              0.2377,             0.05252,            0.055594,             0.02797,            0.004456,            0.004456,            0.004456
                  30,            0.044686,             0.06154,            0.014483,              0.5383,             0.37705,             0.39358,             0.23333,            0.052333,            0.056264,            0.027178,            0.004258,            0.004258,            0.004258
                  31,            0.044573,            0.060129,            0.014232,             0.53799,             0.37761,             0.39784,             0.23473,            0.052416,            0.056612,            0.027375,             0.00406,             0.00406,             0.00406
                  32,            0.043901,            0.060539,            0.013685,             0.55222,             0.37701,              0.3991,             0.23553,               0.052,            0.056532,            0.027412,            0.003862,            0.003862,            0.003862
                  33,            0.043976,            0.059871,            0.013974,             0.53225,             0.38214,             0.40021,             0.23651,            0.052208,            0.056237,            0.026976,            0.003664,            0.003664,            0.003664
                  34,            0.043617,            0.060796,            0.013632,              0.5568,             0.39634,             0.40668,             0.24089,            0.051995,            0.056215,            0.027338,            0.003466,            0.003466,            0.003466
                  35,            0.043439,            0.059928,              0.0133,             0.55806,             0.38101,             0.40606,             0.24089,            0.052437,            0.056919,            0.027163,            0.003268,            0.003268,            0.003268
                  36,            0.042592,            0.057058,             0.01308,             0.58213,             0.38244,              0.4096,             0.24245,            0.052367,            0.056966,             0.02728,             0.00307,             0.00307,             0.00307
                  37,            0.042982,            0.059104,             0.01306,             0.58512,             0.39145,             0.40416,             0.24066,            0.052359,             0.05771,            0.027555,            0.002872,            0.002872,            0.002872
                  38,            0.042556,            0.058408,             0.01312,             0.52894,             0.37719,             0.39484,             0.23619,            0.052452,            0.058968,            0.027287,            0.002674,            0.002674,            0.002674
                  39,            0.042197,            0.057765,            0.012483,             0.55027,             0.40098,             0.40498,             0.24471,            0.052133,             0.05789,            0.027206,            0.002476,            0.002476,            0.002476
                  40,            0.041988,            0.056414,            0.012237,             0.54761,              0.3905,              0.4029,             0.24141,            0.052071,            0.057952,            0.027521,            0.002278,            0.002278,            0.002278
                  41,            0.041759,            0.056464,            0.012156,             0.60676,             0.37279,             0.40458,             0.24676,            0.051961,            0.057883,            0.027175,             0.00208,             0.00208,             0.00208
                  42,            0.041468,            0.056527,             0.01173,             0.56859,              0.3885,             0.40509,             0.24665,             0.05204,            0.058127,            0.027085,            0.001882,            0.001882,            0.001882
                  43,            0.041207,            0.057023,            0.011618,             0.54109,              0.4002,             0.41011,             0.24786,            0.051894,            0.057865,            0.027145,            0.001684,            0.001684,            0.001684
                  44,            0.040943,            0.056288,            0.011532,             0.58709,             0.38714,             0.40405,             0.24549,            0.052143,            0.058503,            0.027192,            0.001486,            0.001486,            0.001486
                  45,            0.040337,            0.054321,            0.011246,             0.55827,             0.40023,             0.41167,              0.2502,            0.052006,            0.058728,            0.027048,            0.001288,            0.001288,            0.001288
                  46,            0.040611,            0.056063,            0.010874,             0.57331,             0.39753,             0.41346,             0.25202,            0.052008,            0.058722,            0.026987,             0.00109,             0.00109,             0.00109
                  47,            0.040148,            0.055284,            0.010852,             0.58114,             0.39472,              0.4101,             0.24959,            0.052078,             0.05874,            0.027172,            0.000892,            0.000892,            0.000892
                  48,            0.039775,            0.054744,            0.010871,              0.5501,             0.40069,             0.41379,             0.25307,            0.051997,            0.058884,            0.026935,            0.000694,            0.000694,            0.000694
                  49,            0.039625,            0.053598,            0.010563,             0.56334,             0.40281,             0.41244,             0.25398,             0.05186,            0.058897,            0.027037,            0.000496,            0.000496,            0.000496
